row_num,encoder_value,distance_value
0,1,3000
1,4,3000
2,8,3000
3,11,3000
4,13,3000
5,15,3000
6,18,3000
7,21,3000
8,23,3000
9,27,3000
10,29,3000
11,32,3000
12,34,3000
13,38,3000
14,41,3000
15,44,3000
16,46,3000
17,50,3000
18,2,659
19,5,640
20,10,698
21,15,703
22,20,681
23,23,652
24,26,658
25,29,605
26,35,3000
27,38,3000
28,41,3000
29,44,3000
30,48,3000
31,52,3000
32,2,3000
33,5,607
34,12,3000
35,15,3000
36,21,3000
37,26,3000
38,29,824
39,33,3000
40,39,3000
41,43,763
42,48,964
43,52,915
44,2,3000
45,6,3000
46,9,3000
47,16,3000
48,22,697
49,27,679
50,30,3000
51,32,3000
52,36,3000
53,38,3000
54,40,3000
55,43,3000
56,46,3000
57,48,3000
58,51,3000
59,4,3000
60,9,3000
61,16,3000
62,19,733
63,22,855
64,25,811
65,34,757
66,42,786
67,45,753
68,50,863
69,1,3000
70,6,1992
71,11,3000
72,15,3000
73,21,3000
74,25,1786
75,28,1955
76,31,1825
77,34,1818
78,37,1751
79,40,1738
80,43,1761
81,47,1699
82,49,1623
83,53,1732
84,2,3000
85,5,714
86,9,3000
87,14,3000
88,16,3000
89,20,3000
90,22,3000
91,26,3000
92,29,3000
93,35,3000
94,38,1074
95,41,974
96,44,1020
97,48,1055
98,51,1095
99,3,3000
100,8,3000
101,13,3000
102,18,3000
103,25,3000
104,27,3000
105,30,3000
106,35,3000
107,39,3000
108,43,662
109,49,3000
110,52,3000
111,3,780
112,6,3000
113,12,3000
114,17,3000
115,19,3000
116,25,3000
117,28,3000
118,32,694
119,34,3000
120,41,3000
121,45,720
122,48,752
123,53,3000
124,2,3000
125,6,3000
126,13,1804
127,16,1731
128,21,1775
129,27,1752
130,30,1639
131,33,1686
132,36,1590
133,41,1560
134,44,1446
135,48,1545
136,51,1547
137,2,1846
138,7,1794
139,10,1708
140,13,1764
141,16,1699
142,19,1645
143,22,1648
144,26,1608
145,29,1671
146,32,1638
147,35,1651
148,38,1654
149,41,1576
150,44,1535
151,47,1552
152,50,1563
153,3,3000
154,6,3000
155,9,3000
156,14,3000
157,18,3000
158,22,3000
159,26,3000
160,31,3000
161,36,1978
162,40,3000
163,43,3000
164,47,1669
165,50,1685
166,8,3000
167,11,705
168,14,688
169,17,709
170,22,675
171,25,716
172,29,698
173,32,746
174,35,744
175,38,680
176,44,713
177,48,692
178,52,3000
179,7,634
180,12,3000
181,17,3000
182,22,3000
183,27,3000
184,30,3000
185,34,3000
186,38,3000
187,41,3000
188,46,3000
189,49,3000
190,52,3000
191,3,3000
192,9,1817
193,12,3000
194,15,1706
195,18,1757
196,21,1635
197,28,3000
198,31,1699
199,34,1758
200,37,1734
201,40,1667
202,43,1554
203,46,1573
204,49,1611
205,55,1497
206,2,1639
207,5,1547
208,8,1606
209,11,1685
210,15,1543
211,18,1532
212,21,1513
213,24,1527
214,27,1496
215,30,1466
216,33,1458
217,36,1430
218,39,1369
219,42,1356
220,45,1328
221,49,1292
222,52,1276
223,5,1794
224,8,1850
225,14,1694
226,17,1599
227,20,1532
228,23,1504
229,26,1448
230,29,1431
231,33,1414
232,36,1370
233,39,1307
234,42,1294
235,45,1273
236,48,1210
237,51,1134
238,2,3000
239,5,3000
240,7,3000
241,10,3000
242,12,3000
243,15,3000
244,17,3000
245,20,3000
246,22,3000
247,25,3000
248,27,3000
249,30,3000
250,32,3000
251,36,3000
252,38,3000
253,44,3000
254,47,788
255,51,731
256,1,3000
257,4,3000
258,8,3000
259,11,3000
260,14,3000
261,18,3000
262,20,3000
263,23,3000
264,28,835
265,30,3000
266,34,3000
267,39,3000
268,44,784
269,46,3000
270,48,3000
271,53,3000
272,2,3000
273,8,3000
274,14,3000
275,18,3000
276,21,3000
277,24,731
278,29,3000
279,33,3000
280,38,3000
281,41,821
282,47,3000
283,49,3000
284,54,714
285,2,1253
286,5,1203
287,8,1184
288,12,1147
289,15,1105
290,18,1087
291,21,1066
292,24,1047
293,27,1014
294,30,990
295,33,961
296,37,932
297,40,916
298,43,865
299,46,837
300,49,751
301,52,637
302,2,3000
303,6,3000
304,12,3000
305,15,2215
306,19,2081
307,24,3000
308,28,1922
309,33,1709
310,40,1446
311,44,1600
312,50,1448
313,2,633
314,6,669
315,9,577
316,12,566
317,15,624
318,18,648
319,21,605
320,24,662
321,27,625
322,30,708
323,33,3000
324,35,3000
325,38,3000
326,40,3000
327,43,3000
328,45,3000
329,47,3000
330,50,3000
331,2,1954
332,6,1793
333,11,1574
334,19,3000
335,22,1550
336,25,1653
337,28,1515
338,32,1519
339,35,1540
340,38,1516
341,41,1461
342,44,1490
343,47,1487
344,51,1513
345,4,3000
346,6,3000
347,11,3000
348,14,1640
349,21,1528
350,24,1637
351,27,1695
352,34,1565
353,38,1578
354,41,1561
355,45,1497
356,50,3000
357,2,1102
358,6,1087
359,9,1079
360,12,1029
361,15,1017
362,18,957
363,21,926
364,24,807
365,27,698
366,30,688
367,34,668
368,37,741
369,40,704
370,43,701
371,46,684
372,49,646
373,53,595
374,1,3000
375,5,3000
376,9,3000
377,12,3000
378,16,3000
379,20,2096
380,24,3000
381,27,3000
382,30,3000
383,33,650
384,39,3000
385,42,3000
386,44,3000
387,50,1561
388,2,833
389,5,729
390,11,3000
391,13,3000
392,18,735
393,22,646
394,25,574
395,28,551
396,31,559
397,34,604
398,40,672
399,44,589
400,47,538
401,50,3000
402,7,1284
403,10,1410
404,14,1817
405,17,1833
406,20,1824
407,23,1783
408,26,1605
409,29,1465
410,32,1455
411,35,1483
412,38,1491
413,41,1409
414,44,1366
415,47,1433
416,50,1387
417,2,1290
418,5,1232
419,8,1270
420,11,1238
421,15,1242
422,18,1244
423,21,1202
424,24,1244
425,27,1232
426,31,1227
427,34,1272
428,38,1239
429,41,1234
430,44,1173
431,47,1150
432,51,1074
433,2,843
434,6,653
435,9,665
436,12,779
437,15,853
438,18,810
439,21,790
440,24,786
441,27,763
442,31,734
443,34,699
444,37,651
445,40,616
446,43,566
447,46,528
448,49,491
449,52,451
450,2,3000
451,6,762
452,9,948
453,13,3000
454,19,3000
455,24,901
456,28,766
457,31,741
458,35,795
459,39,3000
460,42,779
461,46,802
462,49,801
463,53,778
464,2,3000
465,5,595
466,8,3000
467,12,3000
468,18,619
469,21,544
470,24,540
471,27,552
472,30,587
473,33,641
474,40,652
475,44,3000
476,46,3000
477,49,3000
478,51,3000
479,2,823
480,5,903
481,12,1036
482,15,1036
483,19,993
484,22,955
485,25,947
486,28,1059
487,31,1080
488,36,1230
489,39,1201
490,42,1077
491,45,1000
492,48,958
493,52,1107
494,2,860
495,6,852
496,9,819
497,12,799
498,15,774
499,18,719
500,21,649
501,24,601
502,27,562
503,30,547
504,33,583
505,36,581
506,39,555
507,43,558
508,46,524
509,49,507
510,52,501
511,5,1726
512,8,1625
513,12,1526
514,15,1468
515,18,1471
516,21,1457
517,24,1478
518,33,597
519,36,664
520,39,546
521,46,1173
522,49,1334
523,52,1445
524,2,709
525,9,3000
526,12,3000
527,18,3000
528,22,715
529,26,3000
530,30,737
531,34,3000
532,37,631
533,42,589
534,45,592
535,48,594
536,51,614
537,2,682
538,5,852
539,12,1261
540,16,1135
541,20,1093
542,23,1258
543,29,1336
544,32,1592
545,35,1638
546,38,1555
547,41,1486
548,44,1322
549,48,1269
550,51,1295
551,2,1476
552,7,1407
553,11,1441
554,14,1368
555,17,1358
556,20,1315
557,23,1254
558,26,1214
559,30,1193
560,33,1147
561,36,1141
562,39,1055
563,42,999
564,45,941
565,48,1024
566,51,928
567,2,417
568,6,453
569,9,464
570,12,781
571,15,761
572,18,713
573,21,598
574,24,445
575,27,299
576,30,176
577,2,3000
578,5,3000
579,7,3000
580,9,3000
581,12,3000
582,14,3000
583,17,3000
584,19,3000
585,21,3000
586,25,3000
587,27,3000
588,29,3000
589,33,3000
590,36,642
591,40,3000
592,43,658
593,46,619
594,49,3000
595,53,628
596,2,3000
597,6,3000
598,9,3000
599,13,2123
600,18,2121
601,21,2170
602,24,2147
603,27,2155
604,30,2147
605,33,2101
606,36,2206
607,39,2221
608,42,2199
609,45,2085
610,50,3000
611,2,1024
612,5,990
613,8,958
614,11,928
615,14,908
616,18,876
617,21,895
618,24,879
619,27,828
620,30,788
621,33,725
622,36,670
623,39,632
624,42,605
625,45,578
626,49,586
627,52,523
628,2,365
629,6,351
630,9,328
631,12,305
632,15,287
633,18,267
634,21,243
635,3,3000
636,8,3000
637,12,3000
638,16,3000
639,20,3000
640,25,3000
641,28,1302
642,31,3000
643,35,3000
644,41,667
645,44,637
646,47,607
647,55,855
648,2,774
649,5,735
650,9,716
651,12,702
652,15,677
653,18,633
654,21,606
655,24,701
656,27,737
657,30,796
658,33,861
659,36,929
660,39,933
661,42,978
662,45,1007
663,48,997
664,51,937
665,2,772
666,5,709
667,8,678
668,11,659
669,14,616
670,17,588
671,21,544
672,24,512
673,27,479
674,30,452
675,33,434
676,36,415
677,39,385
678,42,355
679,45,332
680,49,339
681,52,337
682,2,653
683,5,654
684,9,708
685,12,845
686,15,1048
687,18,1176
688,22,1322
689,25,1594
690,28,1682
691,31,1832
692,34,3000
693,36,3000
694,38,3000
695,40,3000
696,42,3000
697,44,3000
698,47,3000
699,49,3000
700,51,3000
701,1,3000
702,5,3000
703,7,3000
704,9,3000
705,12,3000
706,14,3000
707,17,3000
708,20,3000
709,23,3000
710,25,3000
711,28,3000
712,31,3000
713,34,3000
714,37,3000
715,41,3000
716,45,3000
717,50,3000
718,2,755
719,6,760
720,9,831
721,12,787
722,15,763
723,18,769
724,21,758
725,24,683
726,28,727
727,33,741
728,36,728
729,39,828
730,42,741
731,45,750
732,48,732
733,51,763
734,5,679
735,9,703
736,15,659
737,18,3000
738,21,3000
739,24,655
740,28,3000
741,33,3000
742,36,3000
743,39,3000
744,42,3000
745,48,922
746,52,3000
747,2,3000
748,7,3000
749,10,3000
750,12,3000
751,15,3000
