row_num,encoder_value,distance_value
0,3,1131
1,6,1030
2,9,1077
3,14,1068
4,17,1051
5,20,1025
6,23,1016
7,26,975
8,29,981
9,32,898
10,35,920
11,38,874
12,41,907
13,45,887
14,48,846
15,51,832
16,4,3000
17,9,3000
18,13,906
19,16,734
20,22,761
21,25,457
22,28,420
23,31,567
24,34,679
25,37,672
26,40,680
27,43,712
28,46,768
29,49,796
30,52,765
31,2,489
32,5,459
33,8,433
34,11,484
35,14,492
36,18,495
37,21,539
38,24,555
39,27,517
40,30,541
41,33,530
42,36,552
43,39,534
44,42,660
45,49,3000
46,53,3000
47,2,578
48,8,3000
49,12,3000
50,18,580
51,21,616
52,24,617
53,27,596
54,30,635
55,33,600
56,36,638
57,39,603
58,42,625
59,45,617
60,48,603
61,52,588
62,2,623
63,6,648
64,11,3000
65,17,3000
66,21,3000
67,24,3000
68,28,3000
69,33,1451
70,37,3000
71,42,1459
72,48,3000
73,52,3000
74,2,904
75,6,907
76,9,882
77,12,880
78,15,860
79,18,853
80,21,663
81,24,521
82,27,502
83,31,484
84,34,666
85,37,651
86,40,667
87,43,690
88,47,652
89,50,626
90,4,3000
91,6,3000
92,10,3000
93,16,648
94,19,590
95,24,696
96,27,748
97,31,789
98,34,710
99,37,653
100,40,667
101,43,654
102,46,590
103,49,568
104,53,518
105,2,651
106,6,662
107,9,674
108,12,646
109,15,594
110,18,648
111,21,585
112,24,639
113,27,585
114,30,607
115,34,613
116,37,546
117,40,583
118,43,553
119,46,509
120,49,556
121,52,555
122,2,542
123,6,584
124,9,570
125,12,614
126,15,488
127,18,463
128,21,462
129,24,512
130,28,495
131,31,522
132,34,506
133,37,565
134,40,631
135,42,3000
136,48,3000
137,52,3000
138,3,3000
139,6,3000
140,9,3000
141,12,3000
142,14,3000
143,17,3000
144,21,3000
145,25,3000
146,27,3000
147,32,3000
148,35,3000
149,39,3000
150,42,3000
151,46,3000
152,48,3000
153,51,3000
154,2,798
155,5,777
156,9,495
157,12,505
158,15,493
159,18,491
160,21,517
161,24,615
162,27,591
163,30,606
164,33,620
165,36,593
166,40,577
167,43,542
168,46,511
169,49,480
170,52,456
171,3,3000
172,6,3000
173,8,3000
174,11,3000
175,13,3000
176,15,3000
177,19,1877
178,22,1466
179,25,1225
180,28,1026
181,31,767
182,34,634
183,38,567
184,41,562
185,44,544
186,47,529
187,50,498
188,2,566
189,7,558
190,10,599
191,14,3000
192,17,672
193,20,667
194,26,3000
195,31,3000
196,35,3000
197,38,856
198,45,3000
199,49,727
200,54,731
201,2,587
202,6,588
203,9,621
204,12,603
205,15,613
206,18,624
207,21,658
208,24,666
209,27,606
210,31,604
211,34,610
212,37,592
213,40,602
214,43,579
215,46,575
216,49,593
217,53,597
218,6,561
219,9,703
220,13,600
221,18,678
222,25,618
223,29,635
224,32,619
225,35,629
226,38,719
227,41,629
228,44,636
229,47,663
230,50,629
231,2,932
232,5,836
233,9,840
234,12,883
235,15,862
236,18,903
237,21,851
238,24,903
239,27,783
240,30,730
241,33,781
242,36,802
243,39,815
244,42,792
245,45,756
246,48,752
247,51,735
248,2,782
249,5,773
250,8,786
251,11,791
252,15,772
253,18,761
254,21,788
255,24,726
256,27,693
257,30,702
258,33,713
259,36,728
260,39,705
261,42,647
262,46,628
263,49,576
264,52,536
265,4,674
266,8,774
267,11,852
268,14,3000
269,19,719
270,22,673
271,26,663
272,29,660
273,33,674
274,38,686
275,41,700
276,45,655
277,49,705
278,55,821
279,3,600
280,6,599
281,9,612
282,12,627
283,15,654
284,18,648
285,21,623
286,24,616
287,28,569
288,31,659
289,34,649
290,37,646
291,40,640
292,43,604
293,46,665
294,49,628
295,52,620
296,2,612
297,5,613
298,12,587
299,15,614
300,19,580
301,24,572
302,27,581
303,30,577
304,37,3000
305,40,672
306,43,648
307,47,720
308,53,682
309,2,931
310,6,936
311,9,914
312,12,909
313,15,893
314,18,868
315,21,852
316,24,837
317,27,836
318,30,823
319,34,808
320,37,789
321,40,785
322,43,757
323,46,748
324,49,733
325,52,708
326,2,681
327,6,698
328,9,734
329,12,734
330,15,698
331,18,729
332,21,696
333,24,720
334,28,701
335,31,707
336,34,694
337,37,681
338,40,637
339,43,639
340,46,619
341,49,609
342,52,576
343,2,603
344,8,664
345,11,622
346,16,3000
347,19,638
348,22,684
349,28,596
350,35,713
351,38,826
352,47,965
353,52,1121
354,2,564
355,6,618
356,9,571
357,12,627
358,15,578
359,18,564
360,21,602
361,24,597
362,27,607
363,30,638
364,33,656
365,36,583
366,39,576
367,43,576
368,46,626
369,49,607
370,52,657
371,2,598
372,6,579
373,9,605
374,12,566
375,15,538
376,18,540
377,21,555
378,24,563
379,27,571
380,31,578
381,34,615
382,38,574
383,41,612
384,44,551
385,47,540
386,50,607
387,2,849
388,6,822
389,9,868
390,12,846
391,15,843
392,18,798
393,21,787
394,24,785
395,27,772
396,30,767
397,33,738
398,36,713
399,39,697
400,42,676
401,46,664
402,49,647
403,52,635
404,2,716
405,5,721
406,10,770
407,13,642
408,16,715
409,19,733
410,22,717
411,25,813
412,28,903
413,31,950
414,34,997
415,37,952
416,40,1004
417,44,1072
418,47,1091
419,50,1080
420,2,600
421,6,623
422,9,626
423,12,647
424,18,751
425,24,3000
426,31,1029
427,38,795
428,41,851
429,44,874
430,51,897
431,2,594
432,5,575
433,8,619
434,11,667
435,14,573
436,17,610
437,21,624
438,24,543
439,27,626
440,30,627
441,33,640
442,36,623
443,39,639
444,42,562
445,45,636
446,48,607
447,51,622
448,2,3000
449,5,1479
450,8,1581
451,13,3000
452,16,812
453,21,712
454,24,724
455,27,739
456,30,665
457,34,699
458,37,673
459,40,624
460,43,603
461,46,645
462,49,603
463,52,616
464,2,751
465,5,745
466,8,779
467,12,753
468,15,742
469,18,720
470,21,686
471,24,655
472,27,630
473,30,621
474,33,589
475,36,566
476,39,520
477,42,492
478,45,482
479,49,446
480,52,410
481,3,1258
482,7,1355
483,10,1274
484,14,1112
485,20,980
486,25,852
487,31,602
488,34,516
489,37,507
490,40,587
491,43,773
492,46,808
493,49,786
494,52,757
495,4,3000
496,7,3000
497,9,3000
498,15,629
499,18,641
500,22,3000
501,25,558
502,28,561
503,32,626
504,35,587
505,38,557
506,41,580
507,44,573
508,47,536
509,50,536
510,2,528
511,6,501
512,9,473
513,12,506
514,15,476
515,18,501
516,21,498
517,24,508
518,27,609
519,32,3000
520,35,3000
521,38,3000
522,40,3000
523,42,3000
524,46,3000
525,48,3000
526,52,602
527,2,938
528,5,825
529,9,754
530,12,726
531,15,717
532,18,704
533,21,715
534,24,698
535,27,697
536,30,688
537,33,690
538,36,692
539,39,683
540,42,664
541,45,643
542,48,628
543,52,624
544,2,3000
545,7,891
546,10,1330
547,14,3000
548,21,877
549,27,854
550,30,907
551,33,891
552,36,821
553,39,822
554,42,771
555,45,761
556,48,753
557,51,884
558,2,1066
559,6,1012
560,9,974
561,12,891
562,15,834
563,18,808
564,21,787
565,24,757
566,27,729
567,30,689
568,33,634
569,36,597
570,39,565
571,42,535
572,45,508
573,48,477
574,52,443
575,2,147
576,2,339
577,5,330
578,8,335
579,12,383
580,15,562
581,18,634
